ID,i
755370,3896
756126,715
756383,713
757535,1416
759425,2326
759451,704
759628,1398
761265,215
761769,32
761839,1572
762023,1427
762184,3456
762591,3920
763134,1275
763161,3840
763207,480
763293,108
763427,2382
763569,1433
763619,573
763929,2686
764269,2697
764321,1474
765037,3497
765054,3485
765086,2683
765668,2274
765748,2309
766685,1404
766953,2314
767177,1399
767317,1555
768111,1403
768120,216
768174,1400
768691,2691
768952,595
768966,483
769059,451
769368,3880
769426,2273
769512,2570
769541,1082
770401,1473
770406,2679
770436,3725
770821,2687
771517,706
772429,1278
772453,1475
772845,2318
773000,2967
773228,64
773838,2321
774687,311
774953,1527
775204,1589
775611,2638
776222,1279
776400,2275
776759,3478
776801,2266
777034,1537
777374,2315
777558,583
778213,308
778366,85
778849,274
779091,1287
779324,2355
779775,1944
780589,143
780624,2311
782363,2319
782462,356
782508,2673
782617,2659
783183,2270
783288,2310
785136,619
785300,705
785922,2651
786326,2344
786952,73
786995,2391
787365,1941
787558,1330
788039,2976
788577,1728
789428,710
791433,360
791478,1945
792290,1331
792762,264
793328,1322
793517,96
793635,1940
793979,306
794164,267
794241,2972
794377,1939
794848,1738
795729,209
797081,1937
797307,244
797410,1323
797617,349
798132,3603
798386,1727
800486,1327
800899,2608
803184,2356
803830,1942
804324,50
804330,309
804744,305
805219,2390
805709,2779
806263,2926
806711,1329
807633,154
808134,1934
808139,312
808481,1726
808579,354
808811,362
809167,2801
809443,1938
810108,313
810880,258
811456,3083
811548,2338
811659,3972
811700,596
812706,1923
812877,132
812993,2747
813455,3012
813703,622
813818,2730
816596,301
816638,352
818249,2271
818465,2350
818478,2982
819172,1936
819374,232
819753,331
821027,1320
821643,2360
821742,365
821940,1405
822926,3004
824313,2325
824364,3619
824613,2351
824618,3509
824635,2265
824871,1947
825668,289
825866,222
826133,1332
826154,1552
826212,407
827040,3496
827195,2361
827376,3081
827849,2295
828000,1336
828282,2362
830133,2298
830312,1343
830656,1338
830661,1124
831068,2328
831683,487
831978,3893
833026,1401
833042,1986
833221,3601
833950,1734
834538,2794
834892,1337
834991,347
836473,175
837226,1437
837364,1321
837613,338
837822,2761
838188,1334
839943,1949
840220,1339
840278,3627
841291,2287
841354,1342
841682,3007
841708,2324
841730,2297
841798,2756
842326,1930
842650,1935
842703,593
843218,2770
843284,2789
843441,2374
843629,1325
844144,2269
844372,2359
844601,1484
844666,2473
844866,310
845164,2740
845652,275
846017,389
846614,1076
847269,2004
847794,1128
847966,2807
848572,1384
848845,2302
849175,2571
849718,632
