ID,GROUP,Z,LOG_LIR,LOG_LX_INT,LOG_LX,LOG_LXLIM,LOG_LXIR_THEORY,LOG_NH_THEORY,SIG_POS_THEORY,SIG_NEG_THEORY,LOG_LXIR_INTRIN,LOG_NH_INTRIN,SIG_POS_INTRIN,SIG_NEG_INTRIN
      714836,BLU,  0.73900, 43.18723, 43.60484, 43.53500,      NaN, 43.07727, 21.00000,  0.00000,  0.00000, 43.60484, 21.31146,  5.25082,  0.22056
      715196,BLU,  1.34000, 43.68052, 43.06300, 43.06300,      NaN, 43.49163, 22.83501,  0.80327,  0.37428, 43.06300, 21.00000,  5.45238,  0.00068
      715741,BLU,  1.31400, 43.31190, 43.61485, 43.31400,      NaN, 43.18200, 21.00000,  0.79855,  0.00000, 43.61485, 22.43989,  1.42081,  0.40122
      715706,BLU,  0.95900, 43.15952, 43.00300, 43.00300,      NaN, 43.05399, 21.22292,  5.39524,  0.17747, 43.00300, 21.00000,  5.10920,  0.00000
      716342,BLU,  2.24700, 44.90157, 44.43485, 44.16000,      NaN, 44.47063, 22.47943,  1.33871,  0.40117, 44.43485, 22.33478,  1.77028,  0.40175
      716692,BLU,  0.88100, 42.51457, 43.01851, 42.81300,      NaN, 42.51224, 21.00000,  0.00000,  0.00000, 43.01851, 22.01450,  2.67356,  0.39047
      717122,BLU,  1.51400, 44.26641, 44.44484, 44.32900,      NaN, 43.98378, 21.00000,  0.00000,  0.00000, 44.44484, 21.53753,  4.55000,  0.30847
      716954,BLU,  0.95700, 43.27306, 43.35352, 42.99400,      NaN, 43.14937, 21.74408,  3.59351,  0.35810, 43.35352, 22.63915,  1.08309,  0.39414
      717390,BLU,  1.23400, 43.94721, 43.95485, 43.53400,      NaN, 43.71565, 21.88658,  3.09504,  0.37694, 43.95485, 22.81566,  0.83377,  0.37341
      719297,BLU,  1.29900, 44.02930, 43.78484, 43.58000,      NaN, 43.78461, 22.01009,  2.57969,  0.39168, 43.78484, 22.01123,  2.65001,  0.38947
      718980,BLU,  2.13300, 44.40473, 44.31442, 44.06800,      NaN, 44.09997, 21.13976,  5.46963,  0.12994, 44.31442, 22.21369,  1.85352,  0.40245
      720397,BLU,  1.06700, 43.52889, 43.90484, 43.45200,      NaN, 43.36427, 21.00000,  1.68288,  0.00000, 43.90484, 22.89515,  0.72660,  0.36397
      717885,BLU,  0.93700, 43.65127, 43.68485, 43.24600,      NaN, 43.46707, 22.09025,  2.47577,  0.39832, 43.68485, 22.86038,  0.78408,  0.37018
      721349,BLU,  1.38500, 43.26264, 43.93485, 43.90500,      NaN, 43.14062, 21.00000,  0.00000,  0.00000, 43.93485, 21.13047,  5.57726,  0.12542
      723434,BLU,  1.76600, 44.45576, 43.64060, 43.44200,      NaN, 44.14284, 23.36079,  0.37792,  0.26726, 43.64060, 21.97861,  2.62499,  0.38814
      722793,BLU,  1.93200, 44.76116, 44.65484, 44.57600,      NaN, 44.39938, 21.00000,  0.31222,  0.00000, 44.65484, 21.35517,  5.21173,  0.24201
      722987,BLU,  1.90700, 44.09975, 43.91484, 43.61900,      NaN, 43.84379, 22.10836,  2.24563,  0.39933, 43.91484, 22.41967,  1.38287,  0.40450
      724318,BLU,  0.93800, 43.53991, 43.55484, 43.42500,      NaN, 43.37352, 21.00000,  3.00424,  0.00000, 43.55484, 21.61069,  4.39285,  0.32311
      725399,BLU,  0.74200, 43.40644, 43.11485, 42.85000,      NaN, 43.26141, 22.79222,  0.88821,  0.37606, 43.11485, 22.29436,  1.76317,  0.40337
